subject;tx_engj;enviados;abertura;cliques;optout;p_abertura;p_cliques;p_optout;ciclo;ano;ciclo_ano;promo_categoria;tipo_acao;tipo_desconto;id_campanha
⚡ A Promo Relâmpago é vapt vupt! Corra e aproveite! 🏃;1,3984781;46428;22949;2050;14;0,494292237;0,089328511;0,000610048;5;2021;202105;Perfumaria;Lucro Extra;+35% Lucro Total;202105_23_COM_RLMPG_ARBO_EINSTEIN_LOYALISTS
⚡ A Promo Relâmpago é vapt vupt! Corra e aproveite! 🏃;1,14369746;626216;114486;6032;162;0,182821902;0,052687665;0,00141502;5;2021;202105;Perfumaria;Lucro Extra;+35% Lucro Total;202105_23_COM_RLMPG_ARBO_EINSTEIN_WIND_SHOP
Já faz parte do Meu Clube Boti? Então tem lucro extra!;1,046194815;210527;14769;452;18;0,070152522;0,030604645;0,001218769;5;2021;202105;Perfumaria;Lucro Extra;Outros;202105_25_COM_MCB_COMP_BOTIC_2020_N_COMP_21_ENG90
Já faz parte do Meu Clube Boti? Então tem lucro extra!;1,057250711;136660;8575;345;11;0,062746963;0,040233236;0,001282799;5;2021;202105;Perfumaria;Lucro Extra;Outros;202105_25_COM_MCB_PROP_ALTO_BOTICOLLEC
'@oboticario te marcou em uma novidade;0,978068882;114643;3498;330;13;0,030512112;0,094339623;0,003716409;5;2021;202105;Resumo de Ciclo;Resumo de Ciclo;Outros;202105_29_COM_RESUMO_CICLO_ENGJ90_MAIS
'@oboticario te marcou em uma novidade;1,004194729;218841;5978;848;22;0,027316636;0,141853463;0,003680161;5;2021;202105;Resumo de Ciclo;Resumo de Ciclo;Outros;202105_29_COM_RESUMO_CICLO_N_ENGJ180
[BOTI NEWS] Vem conhecer nossos canais digitais!;1,156480158;117716;12226;778;13;0,103860138;0,063634876;0,001063308;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_1_COM_MEU_CATALAG_DIGT
[BOTI NEWS] Vem conhecer nossos canais digitais!;1,044794017;199512;10727;996;31;0,05376619;0,092849818;0,002889904;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_1_N_USER_APP
[BOTI NEWS] Vem conhecer nossos canais digitais!;0,890484667;161528;3475;200;16;0,021513298;0,057553957;0,004604317;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_1_SEM_MEU_CATALAG_DIGT
[BOTI NEWS] Vem conhecer nossos canais digitais!;1,008845298;39306;2755;94;6;0,07009108;0,034119782;0,002177858;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_1_TOP_COMP_PORTAL
[BOTI NEWS] Vem conhecer nossos canais digitais!;1,088317928;370855;33790;1635;48;0,091113778;0,048387097;0,001420539;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_1_USER_APP_15DIAS
[BOTI NEWS] Vem conhecer mais sobre o app!;1,17466495;117629;24017;1355;36;0,204175841;0,05641837;0,001498938;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_2_COM_MEU_CATALAG_DIGT
[BOTI NEWS] Vem conhecer mais sobre o app!;1,102013726;199754;17494;1507;38;0,087577721;0,086143821;0,002172173;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_2_N_USER_APP
[BOTI NEWS] Vem conhecer mais sobre o app!;1,043255563;161410;9076;478;16;0,056229478;0,052666373;0,001762891;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_2_SEM_MEU_CATALAG_DIGT
[BOTI NEWS] Vem conhecer mais sobre o app!;1,114525477;39260;4965;239;9;0,126464595;0,048136959;0,001812689;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_2_TOP_COMP_PORTAL
[BOTI NEWS] Vem conhecer mais sobre o app!;1,122774921;370482;58023;2435;79;0,156614896;0,041966117;0,001361529;5;2021;202105;AdHoc;AdHoc;Outros;202105_32_COM_NEWSLETTER_2_USER_APP_15DIAS
Aproveite taxa zero nas vendas feitas pela Minha Revenda Digital!;1,039442416;89505;7818;359;20;0,087347076;0,045919673;0,002558199;5;2021;202105;AdHoc;AdHoc;Outros;202105_36_COM_ADHOC_MOZZ_TAXA_ZERO
Já conhece a Universidade da Beleza?;1,192931443;192384;36277;2385;43;0,188565577;0,065744135;0,001185324;5;2021;202105;Covid;Covid;Outros;202105_37_COM_COVID_UNIV_ENGJ30_NCOMP_C05_NPROD
Já conhece a Universidade da Beleza?;1,19579957;82197;15109;848;17;0,183814494;0,056125488;0,001125157;5;2021;202105;Covid;Covid;Outros;202105_37_COM_COVID_UNIV_ENGJ30_NCOMP_C05_POTENC
Já conhece a Universidade da Beleza?;1,208780879;110087;19076;912;14;0,173281132;0,047808765;0,000733906;5;2021;202105;Covid;Covid;Outros;202105_37_COM_COVID_UNIV_ENGJ30_NCOMP_C05_PROD_VIP
Já conhece a Universidade da Beleza?;1,042165512;129687;6109;279;8;0,047105724;0,045670322;0,001309543;5;2021;202105;Covid;Covid;Outros;202105_37_COM_COVID_UNIV_ENGJ90_NCOMP_C05
Já conhece a Universidade da Beleza?;0,8990699;104357;1649;138;7;0,015801527;0,083687083;0,004244997;5;2021;202105;Covid;Covid;Outros;202105_37_COM_COVID_UNIV_PROD_POTEN_BOL_VIP
Venha saber o que você pode ganhar no ciclo 6!;1,240698309;44588;4073;576;4;0,091347448;0,141419101;0,000982077;6;2021;202106;Ganhe Mais;Ganhe Mais;Brinde;202106_01_CRM_GANHEMAIS_PROXIMA_FAIXA
Nativa SPA: sucesso em cuidados e sucesso em vendas;1,159652252;255034;46053;3233;80;0,180575923;0,070201724;0,001737129;6;2021;202106;Cuidados;Ações Exclusivas;35% Lucro Total;202106_03_CRM_CUID_CROSS_SELL_POTEN_MED_ALTO_NSPA
Era lucro extra que você queria em Nativa SPA?;1,099115906;107983;8867;653;17;0,082114777;0,073643848;0,001917221;6;2021;202106;Cuidados;Ações Exclusivas;35% Lucro Total;202106_04_CRM_CUID_ALAVANC_BE20_NSPA
Kits selecionados com 30% de lucro!;1,215070302;91047;17325;1409;23;0,190286336;0,081327561;0,001327561;6;2021;202106;Gifts;Ações Exclusivas;30% Lucro Total;202106_05_CRM_GIFTS_REG_JORNAD_GIFT_PROD
Kits selecionados com 30% de lucro!;1,202257489;37415;5967;422;8;0,159481491;0,070722306;0,001340707;6;2021;202106;Gifts;Ações Exclusivas;30% Lucro Total;202106_05_CRM_GIFTS_REG_JORNAD_N_PROD
Kits selecionados com 30% de lucro!;1,110614113;124078;8347;816;15;0,0672722;0,097759674;0,001797053;6;2021;202106;Gifts;Ações Exclusivas;30% Lucro Total;202106_05_CRM_GIFTS_REG_N_JORNAD_COMP_GIFT_N_PROD
Kits selecionados com 30% de lucro!;1,124367251;98648;6382;646;10;0,064694672;0,101222187;0,001566907;6;2021;202106;Gifts;Ações Exclusivas;30% Lucro Total;202106_05_CRM_GIFTS_REG_N_JORNAD_N_COMP_GIFT_PROD
[DIA DAS MÃES] Volta aqui que tem uma promo SENSA de mães esperando por você;1,168082005;61225;6297;434;7;0,102850143;0,068921709;0,00111164;6;2021;202106;Perfumaria;Foco/SubFoco;25% Lucro Total;202106_06_COM_MVT_FOCO_COM_GIRIA_ABANDONO_COM_COLCHETES
Aproveite os kits de Dia das Mães antes que acabem!;1,078105787;61238;5621;335;13;0,091789412;0,059597936;0,002312756;6;2021;202106;Perfumaria;Foco/SubFoco;25% Lucro Total;202106_06_COM_MVT_FOCO_COM_GIRIA_ESCASSEZ_SEM_COLCHETES
[DIA DAS MÃES] Este e-mail guarda uma surpresinha! Dica: vai deixar as mamães felizes 🎁;1,209516474;61214;8312;519;7;0,135785931;0,062439846;0,000842156;6;2021;202106;Perfumaria;Foco/SubFoco;25% Lucro Total;202106_06_COM_MVT_FOCO_COM_GIRIA_SURPRESA_COM_COLCHETES
Volta aqui que tem uma promo especial de mães esperando por você;1,192569997;61210;6296;406;5;0,10285901;0,064485388;0,000794155;6;2021;202106;Perfumaria;Foco/SubFoco;25% Lucro Total;202106_06_COM_MVT_FOCO_SEM_GIRIA_ABANDONO_SEM_COLCHETES
